Object,View,Algo,Merge,Input_Views,IOU,MSE
shark,bottom,SPATIAL,CARVE,VOTE_from_top_front_left,1.0000,75.7937
shark,bottom,HYBRID,DEPTH,VOTE_from_top_left,0.9810,77.1165
shark,bottom,HYBRID,DEPTH,PROJ_from_top_left,0.9810,74.4790
shark,back,SILHOUETTE,INTERSECT,PROJ_from_top_front,1.0000,53.0339
shark,bottom,HYBRID,DEPTH,VOTE_from_top_front_left,0.9762,75.2423
shark,right,HYBRID,DEPTH,VOTE_from_top_front_left,0.9027,46.0899
shark,bottom,DEPTH,MAPPING,from_top_front,1.0000,79.1921
shark,right,HYBRID,DEPTH,PROJ_from_top_left,0.9690,53.1111
shark,right,SPATIAL,CARVE,VOTE_from_top_front_left,0.9956,46.0830
shark,right,HYBRID,DEPTH,PROJ_from_top_front_left,0.9027,54.5784
shark,bottom,SILHOUETTE,INTERSECT,PROJ_from_top_front_left,1.0000,74.8127
shark,right,SILHOUETTE,INTERSECT,VOTE_from_top_front_left,0.9956,46.0830
