Object,View,Algo,Merge,Input_Views,IOU,MSE
bear,bottom,SILHOUETTE,INTERSECT,VOTE_from_top_left,0.9442,91.5717
bear,right,DEPTH,MAPPING,from_top_front_left,0.9783,72.9326
bear,back,SPATIAL,CARVE,VOTE_from_top_front_left,1.0000,75.4321
bear,bottom,SPATIAL,CARVE,PROJ_from_top_left,0.9442,91.0529
bear,bottom,SPATIAL,CARVE,PROJ_from_top_front,0.9442,90.5986
bear,bottom,DEPTH,MAPPING,from_top_left,0.9442,91.5789
bear,bottom,SPATIAL,CARVE,VOTE_from_top_front,0.9442,91.2796
bear,back,HYBRID,DEPTH,VOTE_from_top_front_left,0.9444,75.9569
bear,bottom,HYBRID,DEPTH,VOTE_from_top_front,0.9391,90.6342
bear,bottom,SILHOUETTE,INTERSECT,VOTE_from_top_front,0.9442,91.2796
bear,bottom,SPATIAL,CARVE,PROJ_from_top_front_left,0.9442,90.5932
cup,back,SILHOUETTE,INTERSECT,VOTE_from_front_left,1.0000,13.4792
cup,right,DEPTH,MAPPING,from_front_left,1.0000,13.4906
cup,bottom,SILHOUETTE,INTERSECT,PROJ_from_top_front,1.0000,13.4286
cup,bottom,HYBRID,DEPTH,PROJ_from_top_front_left,1.0000,13.4286
cup,back,DEPTH,MAPPING,from_top_front_left,1.0000,13.4792
cup,right,DEPTH,MAPPING,from_top_left,1.0000,13.4906
cup,back,DEPTH,MAPPING,from_top_front,1.0000,13.4792
cup,bottom,DEPTH,MAPPING,from_top_front_left,1.0000,53.2048
cup,back,SPATIAL,CARVE,PROJ_from_front_left,1.0000,13.4792
cup,back,SILHOUETTE,INTERSECT,PROJ_from_front_left,1.0000,13.4792
cup,back,HYBRID,DEPTH,PROJ_from_front_left,1.0000,13.4792
cup,back,SPATIAL,CARVE,PROJ_from_top_front_left,1.0000,13.4792
cup,bottom,SPATIAL,CARVE,VOTE_from_top_front_left,1.0000,13.4286
cup,bottom,HYBRID,DEPTH,VOTE_from_top_left,1.0000,53.2048
cup,bottom,HYBRID,DEPTH,PROJ_from_top_left,1.0000,13.4286
cup,back,SILHOUETTE,INTERSECT,PROJ_from_top_front,1.0000,13.4792
cup,bottom,HYBRID,DEPTH,VOTE_from_top_front_left,1.0000,13.4286
cup,right,HYBRID,DEPTH,VOTE_from_top_front_left,0.9101,13.5309
cup,bottom,DEPTH,MAPPING,from_top_front,1.0000,53.2048
cup,right,HYBRID,DEPTH,PROJ_from_top_left,0.9101,13.5309
cup,right,SPATIAL,CARVE,VOTE_from_top_front_left,1.0000,13.4906
cup,right,HYBRID,DEPTH,PROJ_from_top_front_left,0.9101,13.5309
cup,bottom,SILHOUETTE,INTERSECT,PROJ_from_top_front_left,1.0000,13.4286
cup,right,SILHOUETTE,INTERSECT,VOTE_from_top_front_left,1.0000,13.4906
cup,back,HYBRID,DEPTH,PROJ_from_top_front,0.9500,13.5000
cup,bottom,SILHOUETTE,INTERSECT,PROJ_from_top_left,1.0000,13.4286
cup,right,SPATIAL,CARVE,PROJ_from_top_front_left,1.0000,13.4906
cup,back,DEPTH,MAPPING,from_front_left,1.0000,13.4792
cup,right,SILHOUETTE,INTERSECT,PROJ_from_front_left,1.0000,13.4906
cup,right,SILHOUETTE,INTERSECT,PROJ_from_top_left,1.0000,13.4906
