Model,Algorithm,Merge,IoU,MSE,Params
box4,SPATIAL_CARVE,MAJORITY_VOTE,0.9209,0.062919,"{'merge': 'MAJORITY_VOTE', 'colors_threshold': 5, 'variance_threshold': np.float64(0.0), 'concavity_depth': np.float64(0.0), 'hollow_grid': True}"
box4,SILHOUETTE_INTERSECT,MAJORITY_VOTE,0.9209,0.062919,"{'merge': 'MAJORITY_VOTE', 'threshold': 0.8, 'hollow_grid': True}"
box4,SPATIAL_CARVE,NEAREST_PROJ,0.9209,0.062730,"{'merge': 'NEAREST_PROJ', 'colors_threshold': 5, 'variance_threshold': np.float64(0.0), 'concavity_depth': np.float64(0.0), 'hollow_grid': True}"
box4,DEPTH_MAPPING,,0.8174,0.071974,"{'concavity_depth_threshold': np.float64(0.0), 'depth_factor': 0.25, 'minimum_region_size': 4}"
box4,HYBRID_DEPTH,MAJORITY_VOTE,0.9207,0.064193,"{'merge': 'MAJORITY_VOTE', 'thresholds_hybrid': 0.6, 'concavity_depth_threshold': np.float64(0.0), 'depth_factor': 0.25, 'minimum_region_size': 1, 'hollow_grid': True}"
box4,HYBRID_DEPTH,NEAREST_PROJ,0.9207,0.067523,"{'merge': 'NEAREST_PROJ', 'thresholds_hybrid': 0.6, 'concavity_depth_threshold': np.float64(0.0), 'depth_factor': 0.25, 'minimum_region_size': 1, 'hollow_grid': True}"
-----------------------------------------------------------------
bush,SILHOUETTE_INTERSECT,NEAREST_PROJ,0.9048,0.076639,"{'merge': 'NEAREST_PROJ', 'threshold': 0.8, 'hollow_grid': True}"
bush,SPATIAL_CARVE,MAJORITY_VOTE,0.9048,0.091220,"{'merge': 'MAJORITY_VOTE', 'colors_threshold': 5, 'variance_threshold': np.float64(0.125), 'concavity_depth': np.float64(0.0), 'hollow_grid': True}"
bush,SILHOUETTE_INTERSECT,MAJORITY_VOTE,0.9048,0.091220,"{'merge': 'MAJORITY_VOTE', 'threshold': 0.8, 'hollow_grid': True}"
bush,SPATIAL_CARVE,NEAREST_PROJ,0.9048,0.072380,"{'merge': 'NEAREST_PROJ', 'colors_threshold': 5, 'variance_threshold': np.float64(0.125), 'concavity_depth': np.float64(0.125), 'hollow_grid': True}"
bush,DEPTH_MAPPING,,0.7917,0.077768,"{'concavity_depth_threshold': np.float64(0.0), 'depth_factor': 0.25, 'minimum_region_size': 2}"
bush,HYBRID_DEPTH,MAJORITY_VOTE,0.9057,0.090901,"{'merge': 'MAJORITY_VOTE', 'thresholds_hybrid': 0.6, 'concavity_depth_threshold': np.float64(0.125), 'depth_factor': 0.5, 'minimum_region_size': 1, 'hollow_grid': True}"
bush,HYBRID_DEPTH,NEAREST_PROJ,0.9057,0.088711,"{'merge': 'NEAREST_PROJ', 'thresholds_hybrid': 0.6, 'concavity_depth_threshold': np.float64(0.125), 'depth_factor': 0.5, 'minimum_region_size': 1, 'hollow_grid': True}"
-----------------------------------------------------------------
cactuss,SILHOUETTE_INTERSECT,NEAREST_PROJ,0.5606,0.158968,"{'merge': 'NEAREST_PROJ', 'threshold': 1.0, 'hollow_grid': True}"
cactuss,SILHOUETTE_INTERSECT,MAJORITY_VOTE,0.5606,0.170120,"{'merge': 'MAJORITY_VOTE', 'threshold': 1.0, 'hollow_grid': True}"
cactuss,SPATIAL_CARVE,MAJORITY_VOTE,0.5606,0.170120,"{'merge': 'MAJORITY_VOTE', 'colors_threshold': 5, 'variance_threshold': np.float64(0.125), 'concavity_depth': np.float64(0.0), 'hollow_grid': True}"
cactuss,SPATIAL_CARVE,NEAREST_PROJ,0.5606,0.166976,"{'merge': 'NEAREST_PROJ', 'colors_threshold': 5, 'variance_threshold': np.float64(0.0), 'concavity_depth': np.float64(0.0), 'hollow_grid': True}"
cactuss,DEPTH_MAPPING,,0.4405,0.184431,"{'concavity_depth_threshold': np.float64(0.0), 'depth_factor': 0.25, 'minimum_region_size': 1}"
cactuss,HYBRID_DEPTH,MAJORITY_VOTE,0.5630,0.170700,"{'merge': 'MAJORITY_VOTE', 'thresholds_hybrid': 0.6, 'concavity_depth_threshold': np.float64(0.0), 'depth_factor': 0.25, 'minimum_region_size': 8, 'hollow_grid': True}"
cactuss,HYBRID_DEPTH,NEAREST_PROJ,0.5630,0.159688,"{'merge': 'NEAREST_PROJ', 'thresholds_hybrid': 0.6, 'concavity_depth_threshold': np.float64(0.0), 'depth_factor': 0.25, 'minimum_region_size': 1, 'hollow_grid': True}"
-----------------------------------------------------------------
castle,SILHOUETTE_INTERSECT,NEAREST_PROJ,0.7172,0.179154,"{'merge': 'NEAREST_PROJ', 'threshold': 0.8, 'hollow_grid': True}"
castle,SILHOUETTE_INTERSECT,MAJORITY_VOTE,0.7172,0.181076,"{'merge': 'MAJORITY_VOTE', 'threshold': 1.0, 'hollow_grid': True}"
castle,SPATIAL_CARVE,MAJORITY_VOTE,0.7791,0.144800,"{'merge': 'MAJORITY_VOTE', 'colors_threshold': 5, 'variance_threshold': np.float64(0.125), 'concavity_depth': np.float64(0.375), 'hollow_grid': True}"
castle,SPATIAL_CARVE,NEAREST_PROJ,0.7791,0.144764,"{'merge': 'NEAREST_PROJ', 'colors_threshold': 5, 'variance_threshold': np.float64(0.125), 'concavity_depth': np.float64(0.25), 'hollow_grid': True}"
castle,DEPTH_MAPPING,,0.4538,0.358996,"{'concavity_depth_threshold': np.float64(0.125), 'depth_factor': 1.25, 'minimum_region_size': 4}"
castle,HYBRID_DEPTH,MAJORITY_VOTE,0.7807,0.145383,"{'merge': 'MAJORITY_VOTE', 'thresholds_hybrid': 1.0, 'concavity_depth_threshold': np.float64(0.125), 'depth_factor': 1.25, 'minimum_region_size': 2, 'hollow_grid': True}"
castle,HYBRID_DEPTH,NEAREST_PROJ,0.7807,0.147126,"{'merge': 'NEAREST_PROJ', 'thresholds_hybrid': 1.0, 'concavity_depth_threshold': np.float64(0.125), 'depth_factor': 1.25, 'minimum_region_size': 1, 'hollow_grid': True}"
-----------------------------------------------------------------
chr_knight,SILHOUETTE_INTERSECT,MAJORITY_VOTE,0.5978,0.173209,"{'merge': 'MAJORITY_VOTE', 'threshold': 0.8, 'hollow_grid': True}"
chr_knight,SILHOUETTE_INTERSECT,NEAREST_PROJ,0.5978,0.175327,"{'merge': 'NEAREST_PROJ', 'threshold': 1.0, 'hollow_grid': True}"
chr_knight,SPATIAL_CARVE,MAJORITY_VOTE,0.6152,0.172870,"{'merge': 'MAJORITY_VOTE', 'colors_threshold': 5, 'variance_threshold': np.float64(0.125), 'concavity_depth': np.float64(0.25), 'hollow_grid': True}"
chr_knight,SPATIAL_CARVE,NEAREST_PROJ,0.6152,0.173567,"{'merge': 'NEAREST_PROJ', 'colors_threshold': 5, 'variance_threshold': np.float64(0.125), 'concavity_depth': np.float64(0.25), 'hollow_grid': True}"
chr_knight,DEPTH_MAPPING,,0.4681,0.180260,"{'concavity_depth_threshold': np.float64(0.25), 'depth_factor': 1.25, 'minimum_region_size': 8}"
chr_knight,HYBRID_DEPTH,MAJORITY_VOTE,0.5978,0.173209,"{'merge': 'MAJORITY_VOTE', 'thresholds_hybrid': 0.8, 'concavity_depth_threshold': np.float64(0.0), 'depth_factor': 0.25, 'minimum_region_size': 1, 'hollow_grid': True}"
chr_knight,HYBRID_DEPTH,NEAREST_PROJ,0.5978,0.175327,"{'merge': 'NEAREST_PROJ', 'thresholds_hybrid': 0.8, 'concavity_depth_threshold': np.float64(0.0), 'depth_factor': 0.25, 'minimum_region_size': 1, 'hollow_grid': True}"
-----------------------------------------------------------------
chr_sword,SILHOUETTE_INTERSECT,NEAREST_PROJ,0.6807,0.187269,"{'merge': 'NEAREST_PROJ', 'threshold': 0.8, 'hollow_grid': True}"
chr_sword,SILHOUETTE_INTERSECT,MAJORITY_VOTE,0.6807,0.191179,"{'merge': 'MAJORITY_VOTE', 'threshold': 0.8, 'hollow_grid': True}"
